VitaSPEC;Type_Essai;Origine-Pays;Origine-PRO;Croisement;Genotype ID VitaPALM;Orgen;Station;trait;Annee Plantation;plot ;Parcelle;Ligne;Arbre;Matricule-PE;obs 19/02/25;ech;Matricule-DIADE;MF (mg);MS (mg) Silicagel;TE1 (%MF);Nb fruit;Nb copeaux;date de collecte;date de spectre (meso et exo);Note;Serie 1 Meso Amel ;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;37;7;PO-407-37-7-2020;M;M158;P407-L37-A7;1135;835,3;26;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18152;PO;-;2020;10;407;37;8;PO-407-37-8-2020;M;M159;P407-L38-A8;839;617,2;26;1;2;25/02/2025;25/02/2025;;;;
Diversite;Hybrid;CIxCameroun;La Mé x Ekona;LM 2 T AF x 2/2311T AF;;PO  15905;PO;-;2016;;333;;;PO-333-8-3-2016;;M16;333-L8-A3;809;604,6;25;1;4;25/03/2024;26/03/2024;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18108;PO;-;2020;6;407;36;5;PO-407-36-5-2020;PM;M160;P407-L36-A5;857;629,7;27;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18136;PO;-;2020;9;407;38;16;PO-407-38-16-2020;M;M161;P407-L38-A16;927;581,0;37;1;3;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18177;PO;-;2020;5;407;38;7;PO-407-38-7-2020;M;M162;P407-L38-A7;977;747,3;24;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17453;PO;-;2020;7;407;33;4;PO-407-33-4-2020;PM;M163;P407-L33-A4;950;563,1;41;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  18096;PO;-;2020;4;407;30;9;PO-407-30-9-2020;M;M164;P407-L30-A9;1200;752,2;37;1;2;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;30;15;PO-407-30-15-2020;M;M165;P407-L30-A15;939;481,4;49;1;3;25/02/2025;25/02/2025;;;;
Essai Nain;BC2_POGP38;CI_Benin_Deli;LaMé_Pobè_Déli Dabou;;;PO  17896;PO;-;2020;8;407;39;9;PO-407-39-9-2020;M;M166;P407-L39-A9;1173;791,5;33;1;2;25/02/2025;25/02/2025;;;;
