"ech","eau","C14.0","C16.0","C18.0","C18.1n9","C18.1n7","C18.2","C18.3","C20.0","tlip.MS","trans.alpha.carotene","trans.beta.carotene","total.trans.carotene.natif","ratio.alpha.beta","ratio.alpha.natif","ratio.beta.natif","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene"
"M166",33,0.619193978227738,43.8984305421386,5.79359259952575,40.2569929089766,0.56138198168568,8.18444575408461,0.346225772599172,0.339736462761876,85.8548304316192,925.158074948453,415.09103132329,1340.24910627174,2.22880767141389,0.690288149135219,0.309711850864781,2.23374036220741,67.3180266915684,484.642798377066,1409.80087332552
"M167",33,0.816359672635144,39.7312997787546,6.17315037441291,44.3900357102683,0.449324187827558,7.56058625904224,0.396891585691387,0.482352431367845,83.9069361097357,588.742014407173,618.252753239045,1206.99476764622,0.952267517326428,0.487775117331527,0.512224882668473,4.2669539324726,100.781435836073,723.30114300759,1312.04315741476
"M168",25,0.786453529855656,44.6773538063653,5.14070982715076,40.3772789922075,0.57401622147057,7.81841028560718,0.267409410666907,0.358367926676158,89.3214037668348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M169",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M17",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M170",33,0.5,38.7,6.6,43.1,1.9,8.5,0.4,0.4,NA,922.508796301972,500.877648322399,1423.38644462437,1.84178471407489,0.648108459783331,0.351891540216669,51.251266595551,76.8067830446823,628.935697962632,1551.4444942646
"M171",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M172",36,1,41.5,6,38.2,0.8,11.6,0.4,0.5,83.3732691712498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M173",24,0.5,42.8,3.3,39.4,3.1,10.6,0.1,0.2,NA,103.153128581771,143.070859862975,246.223988444746,0.720993280396611,0.418940206570972,0.581059793429028,9.5714507714078,20.8655225253048,173.507833159688,276.660961741459
"M174",38,NA,NA,NA,NA,NA,NA,NA,NA,74.8851452952999,222.30810907108,437.238658510151,659.546767581231,0.508436536303935,0.337061934040485,0.662938065959515,23.4878119157247,28.1214074837558,488.847877909631,711.155986980711
