"ech","C14.0","C16.0","C18.0","C18.1n9","C18.2","FFA(%)","trans.alpha.carotene","trans.beta.carotene","X13.cis.beta.carotene","X9.cis.beta.carotene","total.beta.carotene","total.carotene","lycopene","aT","aT3","gT3","dT3","total.T3","total.toco"
"48",0.621654572836233,36.8242871930814,6.04985594120891,47.4636280641356,7.56705922388504,12.1329118078226,371.03419015716,434.752788208132,64.4744042506775,137.916540008264,637.143732467074,1008.17792262423,6.66205679924648,77.243157777677,181.839673400978,220.204289142208,63.6560307177582,465.699993260945,542.943151038622
"49",0.622618864333607,32.2369684413435,7.63034227321727,50.863258415694,7.29873752694297,24.737349066571,348.988340540242,347.521511345567,52.2415562131429,117.730257509905,517.493325068615,866.481665608857,3.67658939412181,32.8902908474817,87.7676943003632,172.436420807027,64.2427207486554,324.446835856045,357.337126703527
"50",0.64850979340476,36.3335892459016,6.47465989447439,44.5875446512977,10.4908249083374,NA,318.543330197822,442.106730115778,30.121601391557,68.1166582439976,540.344989751332,858.888319949155,9.27198809461386,90.3172313507551,127.199506128495,252.205169505416,118.938055691023,498.342731324934,588.659962675689
"51",0.812539926230149,37.8327081402948,7.82981686026497,44.390990078616,7.83410022380935,2.26886803274687,379.39994258834,685.274671461414,64.4437153869115,161.374849542845,911.093236391171,1290.49317897951,5.99061576926123,102.942174922799,228.147479453642,302.415891045148,85.006812564789,615.570183063579,718.512357986378
"52",0.540771609124638,38.5778569737223,5.81882942940911,44.2258559444496,9.78146382330274,12.171227047061,98.2222767752175,115.841770586005,23.2588714877097,37.2705887702218,176.371230843937,274.593507619154,0,8.41060569208364,9.52010506064802,69.2182771922771,69.7173165511803,148.455698804105,156.866304496189
"53",0.653779492472276,38.9342341182288,6.56290688125204,44.6365041505903,7.77973324565271,9.515124420511,476.045026115808,550.079160249871,70.7454290875169,131.876795560824,752.701384898212,1228.74641101402,10.2693583861893,195.929533962098,228.141890757722,288.598737029641,81.8280609918698,598.568688779233,794.498222741331
"54",0.542495441951974,40.3408227854969,6.11348941018936,41.6292487843083,9.96035047872342,18.781382727694,194.176710803814,281.293292040166,37.3306006198027,66.3854179266596,385.009310586629,579.186021390443,0,54.4878946620514,94.5704575115285,210.958337150472,78.1519515001889,383.680746162189,438.168640824241
"55",0.57085139787717,37.1914965715844,6.21832987846309,46.4521570544393,8.14876584523446,6.96631732979316,473.013825734505,639.605510250397,73.4914139840988,157.394757621046,870.491681855541,1343.50550759005,8.70554108640453,198.244370803692,259.08178585005,293.334165811504,76.7139571535786,629.129908815133,827.374279618825
"56",0.678617706255895,36.9917392620675,6.23142792990281,46.2075784623315,8.56676670305992,12.6158288088355,451.200184800251,492.802422062049,101.348206280818,155.9315411311,750.082169473966,1201.28235427422,4.94720669515412,144.204021278803,216.374586648409,274.582456051413,107.341019033108,598.298061732929,742.502083011732
"57",0.816376800588074,36.1908637111239,7.67784357683437,44.9787158655185,8.65623239661437,17.2182695425544,640.204034495618,1083.52794094544,180.090242628036,329.524090704252,1593.14227427773,2233.34630877335,13.767594031354,191.448163465399,333.438628635713,433.011971552119,116.651592535484,883.102192723317,1074.55035618872
"58",0.533167050794718,38.3039238785274,6.37852034309084,42.6392535774905,10.6909225731878,21.6399730790968,190.012986375941,269.82003954542,30.4888514890948,120.051116305562,420.360007340078,610.372993716019,1.12742305066113,29.265796889597,40.7247320860175,167.339505319607,94.7769679771393,302.841205382764,332.107002272361
"59",0.822725080087907,42.75522423008,5.36201847943204,39.7564760156489,9.89320020541527,5.52259110521294,254.848241160121,282.022430755251,15.3956134181007,94.2788868352022,391.696931008554,646.545172168675,4.58853244938308,152.436156289111,180.859332701446,241.14277011781,132.372954124347,554.375056943604,706.811213232715
"60",0.735170898327875,41.7153654198785,6.21477275227346,40.2043861013839,9.93086021894027,9.23262502120586,224.789880291509,288.741439703913,20.9547910715166,100.621074766607,410.317305542036,635.107185833545,1.19412006595016,132.915694613551,200.890300445626,248.110464596121,103.918814658059,552.919579699807,685.835274313358
